timestamp,horizontalerror,verticalerror,satellite
10-28 00,3,6,GPS
10-28 01,9,3,GPS
10-28 02,8,4,GPS
10-28 03,8,4,GPS
10-28 04,1,5,GPS
10-28 05,1,3,GPS
10-28 06,5,2,GPS
10-28 07,9,1,GPS
10-28 08,6,4,GPS
10-28 09,1,5,GPS
10-28 10,2,9,GPS
10-28 11,3,9,GPS
10-28 12,5,8,GPS
10-28 13,2,5,GPS
10-28 14,6,2,GPS
10-28 15,2,10,GPS
10-28 16,6,10,GPS
10-28 17,3,1,GPS
10-28 18,0,1,GPS
10-28 19,3,10,GPS
10-28 20,10,3,GPS
10-28 21,4,8,GPS
10-28 22,9,1,GPS
10-28 23,9,6,GPS
10-28 24,8,4,GPS
10-28 00,4,2,GLONASS
10-28 01,7,7,GLONASS
10-28 02,10,3,GLONASS
10-28 03,9,3,GLONASS
10-28 04,10,9,GLONASS
10-28 05,4,10,GLONASS
10-28 06,4,8,GLONASS
10-28 07,9,5,GLONASS
10-28 08,4,3,GLONASS
10-28 09,6,8,GLONASS
10-28 10,5,4,GLONASS
10-28 11,9,9,GLONASS
10-28 12,1,5,GLONASS
10-28 13,9,4,GLONASS
10-28 14,4,4,GLONASS
10-28 15,2,6,GLONASS
10-28 16,1,1,GLONASS
10-28 17,8,5,GLONASS
10-28 18,0,7,GLONASS
10-28 19,7,1,GLONASS
10-28 20,10,1,GLONASS
10-28 21,6,0,GLONASS
10-28 22,1,2,GLONASS
10-28 23,0,5,GLONASS
10-28 24,7,4,GLONASS
10-28 00,8,1,Galileo
10-28 01,3,5,Galileo
10-28 02,8,9,Galileo
10-28 03,7,9,Galileo
10-28 04,3,2,Galileo
10-28 05,4,2,Galileo
10-28 06,5,9,Galileo
10-28 07,3,9,Galileo
10-28 08,2,2,Galileo
10-28 09,2,9,Galileo
10-28 10,9,6,Galileo
10-28 11,3,2,Galileo
10-28 12,3,1,Galileo
10-28 13,10,5,Galileo
10-28 14,8,8,Galileo
10-28 15,5,10,Galileo
10-28 16,2,7,Galileo
10-28 17,1,10,Galileo
10-28 18,2,0,Galileo
10-28 19,2,8,Galileo
10-28 20,0,7,Galileo
10-28 21,6,0,Galileo
10-28 22,4,9,Galileo
10-28 23,4,5,Galileo
10-28 24,6,1,Galileo
10-28 00,8,1,BeiDou
10-28 01,3,9,BeiDou
10-28 02,4,6,BeiDou
10-28 03,1,3,BeiDou
10-28 04,1,5,BeiDou
10-28 05,3,8,BeiDou
10-28 06,9,2,BeiDou
10-28 07,5,6,BeiDou
10-28 08,6,7,BeiDou
10-28 09,1,8,BeiDou
10-28 10,5,7,BeiDou
10-28 11,1,1,BeiDou
10-28 12,7,3,BeiDou
10-28 13,8,9,BeiDou
10-28 14,8,6,BeiDou
10-28 15,7,1,BeiDou
10-28 16,9,7,BeiDou
10-28 17,7,1,BeiDou
10-28 18,9,7,BeiDou
10-28 19,7,0,BeiDou
10-28 20,3,9,BeiDou
10-28 21,5,5,BeiDou
10-28 22,5,10,BeiDou
10-28 23,4,0,BeiDou
10-28 24,5,10,BeiDou